"rid","binaryID"
145,"1000111011011111111001011100111001111110001100101010011011011111001101100110111000000100011"
147,"100011101101111111100101110011100111111000110010101001101101111100110110011011100000010011010101110101"
151,"1000111011011111111001011100111001111110001100101010011011011111001101100110111110011110111100101101100011111000110000100"
156,"1000111011011111111001011100111001111110001100101010011011011111001101100110111110011110111100101101100010"
158,"1000111011011111111001011100111001111110001100101010011011011111001101100110111000000100110101011010"
162,"100011101101111111100101110011100111111000110010101001101101111100110110011011100110101101"
164,"10001110110111111110010111001110011111100011001010100110110111110011011001101110000001001101010111010000"
166,"1000111011011111111001011100111001111110001100101010011011011111001101100110111000000100110100"
167,"100011101101111111100101110011100111111000110010101001101101111100110110011011100000000110"
171,"1000111011011111111001011100111001111110001100101010011011011111001101100110111000000100111"
174,"10001110110111111110010111001110011111100011001010100110110111110011011001101110000001000101"
175,"10001110110111111110010111001110011111100011001010100110110111110011011001101111100111101111001011011000111110001100111"
176,"1000111011011111111001011100111001111110001100101010011011011111001101100110111000000100110101010"
177,"1000111011011111111001011100111001111110001100101010011011011111001101100110111000000100110101011101000"
181,"100011101101111111100101110011100111111000110010101001101101111100110110011011100110101100"
183,"100011101101111111100101110011100111111000110010101001101101111100110110011011111001111011110010100"
184,"10001110110111111110010111001110011111100011001010100110110111110011011001101110000001000100"
185,"100011101101111111100101110011100111111000110010101001101101111100110110011011100110001"
187,"10001110110111111110010111001110011111100011001010100110110111110011011001101110000001001101111"
189,"10001110110111111110010111001110011111100011001010100110110111110011011001101110011010111"
193,"10001110110111111110010111001110011111100011001010100110110111110011011001101111100111101111001011011000111110001100110"
197,"10001110110111111110010111001110011111100011001010100110110111110011011001101110011010110"
201,"10001110110111111110010111001110011111100011001010100110110111110011011001101111100111101111001011011000111111111"
213,"1000111011011111111001011100111001111110001100101010011011011111001101100110111000000100110110"
222,"100011101101111111100101110011100111111000110010101001101101111100110110011011100000010011010101100"
225,"100011101101111111100101110011100111111000110010101001101101111100110110011011111001111011110010110110001111100011000010"
228,"10001110110111111110010111001110011111100011001010100110110111110011011001101110000000001"
230,"1000111011011111111001011100111001111110001100101010011011011111001101100110111000000111"
237,"100011101101111111100101110011100111111000110010101001101101111100110110011011100000010011010101111"
240,"100011101101111111100101110011100111111000110010101001101101111100110110011011111001111011110010110110001111101111010110"
241,"10001110110111111110010111001110011111100011001010100110110111110011011001101111100111101111001011011000111110111101010"
242,"10001110110111111110010111001110011111100011001010100110110111110011011001101111100111101111001011011000111110111101001"
243,"10001110110111111110010111001110011111100011001010100110110111110011011001101111100111101111001011011000111110111101000"
244,"1000111011011111111001011100111001111110001100101010011011011111001101100110111110011110111100101101100011111011110100"
245,"100011101101111111100101110011100111111000110010101001101101111100110110011011111001111011110010110110001111101111010111"
246,"10001110110111111110010111001110011111100011001010100110110111110011011001101111100111101111001011011000111110111101011"
247,"1000111011011111111001011100111001111110001100101010011011011111001101100110111110011110111100101101100011111011110101"
248,"100011101101111111100101110011100111111000110010101001101101111100110110011011111001111011110010110110001111101111010"
251,"10001110110111111110010111001110011111100011001010100110110111110011011001101111100111101111100"
257,"1000111011011111111001011100111001111110001100101010011011011111001101100110111110011110111100101101100011111000110011"
258,"100011101101111111100101110011100111111000110010101001101101111100110110011011100000010011010101110100"
260,"100011101101111111100101110011100111111000110010101001101101111100110110011011100000000001"
263,"1000111011011111111001011100111001111110001100101010011011011111001101100110111110010100"
264,"100011101101111111100101110011100111111000110010101001101101111100110110011011111001111011110010110110001111101111011"
278,"10001110110111111110010111001110011111100011001010100110110111110011011001101111100111101111001011011000111110111100"
279,"10001110110111111110010111001110011111100011001010100110110111110011011001101111100111101111001011011000111110111110"
283,"1000111011011111111001011100111001111110001100101010011011011111001101100110111001101011"
287,"100011101101111111100101110011100111111000110010101001101101111100110110011011111001111011110010110110001111100010"
290,"100011101101111111100101110011100111111000110010101001101101111100110110011011100000010011010100"
292,"1000111011011111111001011100111001111110001100101010011011011111001101100110111110011110111100101111"
293,"10001110110111111110010111001110011111100011001010100110110111110011011001101110000000000"
296,"1000111011011111111001011100111001111110001100101010011011011111001101100110111000000100110101011100"
301,"10001110110111111110010111001110011111100011001010100110110111110011011001101110000000011"
302,"10001110110111111110010111001110011111100011001010100110110111110011011001101111100111101111001011011000111110101"
303,"10001110110111111110010111001110011111100011001010100110110111110011011001101110000001101"
304,"10001110110111111110010111001110011111100011001010100110110111110011011001101111100111101111001011011000111110111111"
316,"100011101101111111100101110011100111111000110010101001101101111100110110011011100110000"
318,"10001110110111111110010111001110011111100011001010100110110111110011011001101110011000"
324,"10001110110111111110010111001110011111100011001010100110110111110011011001101111100111101111001011011000111110100"
326,"100011101101111111100101110011100111111000110010101001101101111100110110011011111001111011110010110110001111110"
333,"100011101101111111100101110011100111111000110010101001101101111100110110011011100110100"
334,"10001110110111111110010111001110011111100011001010100110110111110011011001101111100111101111001011011000111110111101"
339,"1000111011011111111001011100111001111110001100101010011011011111001101100110111000000101"
340,"1000111011011111111001011100111001111110001100101010011011011111001101100110111000000100010"
341,"100011101101111111100101110011100111111000110010101001101101111100110110011011111001111011110010110110001111101110"
345,"100011101101111111100101110011100111111000110010101001101101111100110110011011100000010001"
347,"1000111011011111111001011100111001111110001100101010011011011111001101100110111110011110111100101101100011111011110"
392,"1000111011011111111001011100111001111110001100101010011011011111001101100110111110011110111100101101100011111001"
394,"100011101101111111100101110011100111111000110010101001101101111100110110011011111001111011110010110110001111100011000011"
397,"10001110110111111110010111001110011111100011001010100110110111110011011001101110000001000"
398,"1000111011011111111001011100111001111110001100101010011011011111001101100110111110011110111100101101100011111011111"
399,"1000111011011111111001011100111001111110001100101010011011011111001101100110111110010101"
401,"1000111011011111111001011100111001111110001100101010011011011111001101100110111000000100110111"
402,"10001110110111111110010111001110011111100011001010100110110111110011011001101110000001100"
405,"1000111011011111111001011100111001111110001100101010011011011111001101100110111000000110"
408,"100011101101111111100101110011100111111000110010101001101101111100110110011011111001111011110010101"
415,"1000111011011111111001011100111001111110001100101010011011011111001101100110111001101010"
421,"100011101101111111100101110011100111111000110010101001101101111100110110011011100110101"
429,"100011101101111111100101110011100111111000110010101001101101111100110110011011100001100"
436,"100011101101111111100101110011100111111000110010101001101101111100110110011011100010010110010"
440,"100011101101111111100101110011100111111000110010101001101101111100110110011011100000010010"
444,"100011101101111111100101110011100111111000110010101001101101111100110110011011100000010011010101110110"
446,"10001110110111111110010111001110011111100011001010100110110111110011011001101111100111101111001011011000111110000"
473,"1000111011011111111001011100111001111110001100101010011011011111001101100110111111"
476,"10001110110111111110010111001110011111100011001010100110110111110011011001101110011001"
489,"1000111011011111111001011100111001111110001100101010011011011111001101100110111000000000"
493,"100011101101111111100101110011100111111000110010101001101101111100110110011011111001111011110010111"
499,"10001110110111111110010111001110011111100011001010100110110111110011011001101110001001000"
514,"1000111011011111111001011100111001111110001100101010011011011111001101100110111110011110111100101101100011111111"
525,"10001110110111111110010111001110011111100011001010100110110111110011011001101111100111101111001010"
527,"100011101101111111100101110011100111111000110010101001101101111100110110011011100000010011010101101"
529,"1000111011011111111001011100111001111110001100101010011011011111001101100110111110011110111100100010"
537,"100011101101111111100101110011100111111000110010101001101101111100110110011011100010010110011"
538,"10001110110111111110010111001110011111100011001010100110110111110011011001101110001001011000"
540,"10001110110111111110010111001110011111100011001010100110110111110011011001101110001001011111"
547,"100011101101111111100101110011100111111000110010101001101101111100110110011011100001101"
548,"10001110110111111110010111001110011111100011001010100110110111110011011001101110011010"
550,"10001110110111111110010111001110011111100011001010100110110111110011011001101110000000010"
553,"100011101101111111100101110011100111111000110010101001101101111100110110011011100000001"
555,"10001110110111111110010111001110011111100011001010100110110111110011011001101111100111101111001011011000111110001100001"
556,"10001110110111111110010111001110011111100011001010100110110111110011011001101110001001011110"
561,"10001110110111111110010111001110011111100011001010100110110111110011011001101111100111101111001011011000111110001100000"
562,"10001110110111111110010111001110011111100011001010100110110111110011011001101111100111101111001011011000111110110"
563,"1000111011011111111001011100111001111110001010010111000111110001110110011100100111"
567,"100011101101111111100101110011100111111000110010101001101101111100110110011011100000011"
568,"10001110110111111110010111001110011111100011001010100110110111110011011001101110000001001101011"
570,"100011101101111111100101110011100111111000110010101001101101111100110110011011100000010011011"
571,"1000111011011111111001011100111001111110001100101010011011011111001101100110111000100110"
578,"10001110110111111110010111001110011111100010100101110001111100011101100111001001001101"
589,"1000111011011111111001011100111001111110001100101010011011011111001101100110111000000001"
590,"1000111011011111111001011100111001111110001100101010011011011111001101100110111110011110111100101101100011111010"
591,"1000111011011111111001011100111001111110001100101010011011011111001101100110111110011110111100000"
600,"1000111011011111111001011100111001111110001010010111000111110001110110011111000"
602,"10001110110111111110010111001110011111100011001010100110110111110011011001101111100111101111001011011000111110001101"
607,"100011101101111111100101110011100111111000110010101001101101111100110110011011111001111011110010110110001111111"
610,"10001110110111111110010111001110011111100011001010100110110111110011011001101111100111101111001011011000111110001111"
611,"100011101101111111100101110011100111111000110010101001101101111100110110011011111001111011110010000"
613,"10001110110111111110010111001110011111100011001010100110110111110011011001101110001001001"
624,"1000111011011111111001011100111001111110001010010111000111110001110110011111001"
626,"100011101101111111100101110011100111111000110010101001101101111100110110010"
627,"100011101101111111100101110011100111111000110010101001101101111100110110011011100010010100"
628,"10001110110111111110010111001110011111100011001010100110110111110011011001101110001001011010"
633,"100011101101111111100101110011100111111000110010101001101101111100110110011011111001111011110010110110001111100011001"
634,"100011101101111111100101110011100111111000110010101001101101111100110110011011100000010011010101110111"
635,"10001110110111111110010111001110011111100011001010100110110111110011011001101110000001001101010111011"
636,"10001110110111111110010111001110011111100011001010100110110111110011011001101110000001001101010111010"
637,"1000111011011111111001011100111001111110001100101010011011011111001101100110111000000100110101011101"
638,"1000111011011111111001011100111001111110001100101010011011011111001101100110111000001"
642,"100011101101111111100101110011100111111000110010101001101101111100110110011011100000000"
646,"100011101101111111100101110011100111111000110010101001101101111100110110011011100000010011010101110"
647,"10001110110111111110010111001110011111100011001010100110110111110011011001101110000001001101010111"
649,"1000111011011111111001011100111001111110001100101010011011011111001101100110111000100100"
652,"10001110110111111110010111001110011111100011001010100110110111110011011001101111100111101111001001"
653,"10001110110111111110010111001110011111100011001010100110110111110011011001101110000110"
656,"1000111011011111111001011100111001111110001100101010011011011111001101100110111110011110111100101101100011111000110000"
657,"10001110110111111110010111001110011111100011001010100110110111110011011001101110000001001101010110"
658,"1000111011011111111001011100111001111110001100101010011011011111001101100110111000000100110101011"
659,"100011101101111111100101110011100111111000110010101001101101111100110110011011100000010011010101"
660,"10001110110111111110010111001110011111100011001010100110110111110011011001101110000001001101010"
661,"1000111011011111111001011100111001111110001100101010011011011111001101100110111000000100110101"
662,"100011101101111111100101110011100111111000110010101001101101111100110110011011100000010011010"
663,"10001110110111111110010111001110011111100011001010100110110111110011011001101110000001001101"
664,"10001110110111111110010111001110011111100011001010100110110111110011011001101110000001001100"
665,"1000111011011111111001011100111001111110001100101010011011011111001101100110111000000100110"
670,"100011101101111111100101110011100111111000110010101001101101111100110110011011111001111011110010110110001111100011000"
679,"100011101101111111100101110011100111111000110010101001101101111100110110011011111001111011110010110110001111101111"
695,"1000111011011111111001011100111001111110001100101010011011011111001101100110111001100"
696,"1000111011011111111001011100111001111110001100101010011011011111001101100110111110011110111101"
698,"10001110110111111110010111001110011111100011001010100110110111110011011001101111100111101111001011011000111110111"
702,"10001110110111111110010111001110011111100011001010100110110111110011011001101111101"
705,"10001110110111111110010111001110011111100010100101110001111100011101110001"
706,"1000111011011111111001011100111001111110001100101010011011011111001101100110010"
711,"10001110110111111110010111001110011111100011001010100110110111110011011001101111100111101111001011011000111110001110"
712,"10001110110111111110010111001110011111100011001010100110110111110011011001101110011011"
716,"10001110110111111110010111001110011111100011001010100110110111110011011001101111100111101111001011011000111110001100"
718,"10001110110111111110010111001110011111100011001010100110110111110011011000001"
727,"1000111011011111111001011100111001111110001100101010011011011111001101100110111110011110111110"
730,"100011101101111111100101110011100111111000110010101001101101111100110110011011111001111011110000"
732,"1000111011011111111001011100111001111110001010010111000111110001110110011100100100111"
735,"1000111011011111111001011100111001111110001100101010011011011111001101100110111110011110111100101101100011111000111"
745,"100011101101111111100101110011100111111000110010101001101101111100110110011011111001111011111"
751,"10001110110111111110010111001110011111100010100101110001111100011101100111001001001100"
755,"100011101101111111100101110011100111111000101001011100011111000111011001110010001"
758,"1000111011011111111001011100111001111110001100101010011011011111001101100110111110011110111100101101100011111000110"
763,"10001110110111111110010111001110011111100010100101110001111100011101100111001001010"
771,"1000111011011111111001011100111001111110001100101010011011011111001101111000"
784,"10001110110111111110010111001110011111100011001010100110110111110011011110110111010001111"
789,"10001110110111111110010111001110011111100011001010100110110111110011011001101111100111101111001011011000111111"
803,"100011101101111111100101110011100111111000110010101001101101111100110110011011100111"
804,"1000111011011111111001011100111001111110001100101010011011011111001101100110111001101"
805,"100011101101111111100101110011100111111000110010101001101101111100110110011011100110"
806,"10001110110111111110010111001110011111100011001010100110110111110011011001101110011"
811,"10001110110111111110010111001110011111100010100101110001111100011101100111001001000"
812,"100011101101111111100101110011100111111000110010101001101101111100110111101101100111111"
814,"100011101101111111100101110011100111111000110010101001101101111100110110011011111001111011110010110110001111100011"
815,"10001110110111111110010111001110011111100011001010100110110111110011011001101110010"
820,"10001110110111111110010111001110011111100010100101110001111100011101100111001001100"
824,"1000111011011111111001011100111001111110001100101010011011011111001101100110111000100111"
827,"10001110110111111110010111001110011111100011001010100110110111110011011110110111001"
831,"1000111011011111111001011100111001111110001010010111000111110001110110011100100100110"
832,"100011101101111111100101110011100111111000110010101001101101111100110110000001"
842,"10001110110111111110010111001110011111100011001010100110110111110011011110110111010001110"
845,"10001110110111111110010111001110011111100011001010100110110111110011011110110111010101111010110"
847,"10001110110111111110010111001110011111100011001010100110110111110011011110110111010001100"
849,"1000111011011111111001011100111001111110001100101010011011011111001101100110111110011101"
850,"10001110110111111110010111001110011111100011001010100110110111110011011110110111010101111010111"
856,"1000111011011111111001011100111001111110001100101010011011011111001101111011011101000111"
